Product ID,Height (cm),Width (cm),Depth (cm),Avg Daily Demand,Product Category,Score
P20106,35.43600155,22.62256938,33.6578847,49.12350782,Electronics,6.697376612
P41070,28.55639588,24.46152849,44.91277935,16.09463812,Electronics,86.75132427
P29033,28.38714288,16.13805182,18.43357777,17.2357522,Food,39.18193732
P47714,23.28376632,24.27703269,26.85725594,6.472163267,Clothing,36.53945386
P14692,9.607678222,23.97359379,37.11603181,15.73761553,Food,54.27973795
P66892,32.59882794,11.50085177,28.89036656,69.11974049,Clothing,95.70848174
P27991,41.89470489,21.52508473,24.49671596,112.5413876,Electronics,89.87405451
P55994,35.43298029,28.18967637,16.27230652,31.88423206,Toys,47.03300883
P74441,27.18215391,26.79281689,29.32817283,2.40687074,Toys,69.5823231
P82361,21.84189715,17.06540471,30.47421573,1.059946687,Electronics,58.04292523
P29514,35.70890511,28.85664535,35.651443,31.74947706,Clothing,69.34615791
P95243,17.03168052,18.47597515,24.669768107376385,3.666984553,Furniture,82.93274601
P84933,34.86501644,8.758481226,15.30988785,85.90732846,Food,3.449382887
P11540,28.85460155,20.744729450869144,45.44304771,70.12733745,Electronics,32.57598539
P72074,41.17295832,31.89796924,19.49753277,91.98459281,Toys,95.93291082
P77759,29.59842049,25.46663194,43.13747599,40.19980257,Food,94.93363085
P85981,33.46488476,16.06478042,25.65051069,63.76982005,Electronics,1.122088998
P71987,16.19898542,23.74154537,13.51326025,86.89971105,Food,20.14401299
P88033,43.80091354,36.70754218,28.53976345,89.84170667,Food,99.37700423
P91251,36.77925871,2.094150133,26.41415127,22.11005803,Furniture,49.28250759
P73955,37.21672064,18.47968772,14.92408484,56.5597792,Furniture,57.2866004
P11982,45.86016816,20.744729450869144,5.628548099,0.7201488282,Electronics,16.64201855
P82065,25.53816567,22.43054876,28.20102054,44.90442927,Electronics,89.43356088
P91013,15.84629258,18.53682847,24.533704302537412,43.52118439,Food,23.12642996
P36692,28.03650151,19.4918034,21.51374232,96.20971939,Clothing,18.964763
P17411,20.31655545,24.89975035,24.43189288,44.95222597,Toys,22.81224033
P08797,26.3716144,33.39593947,26.64250928,56.30909121,Food,91.96217026
P02770,27.24948303,24.74845378,24.17740398,95.86243552,Toys,70.28467072
